,ATTACHMENT_ID,ATTACHMENT_NAME,ATTACHMENT_URL,CATEGORY,DATE,INSTRUMENT,ISSUER,ISSUER_ID,MANDATORY_NOTIFICATION,MARKET,MSG_ID,OAM_ANNOUNCEMENT,TEXT,TITLE,URL
0,,,,MELDING FRA OSLO BØRS,1998-03-18 12:02:00,,Moelven Industrier ASA,MOE,0,OB,1442,0,"Styret i Moelven Industrier ASA vil 
foreslå for generalforsamlingen den 
25.mars 1998 at det utbetales et 
utbytte på kr. 0,25 pr.aksje til de 
som er aksjonærer i Moelven den dagen 
generalforsamlingen avholdes. Dersom 
generalforsamlingen fatter et slik 
vedtak, vil aksjen bli notert 
ekslusive utbytte fra og med 26.mars 
1998.",MOE - AD UTBYTTE,http://www.newsweb.no/newsweb/search.do?messageId=1442&siteLanguage=no
1,,,,MELDING FRA OSLO BØRS,1998-03-18 12:03:00,,Moelven Industrier ASA,MOE,0,OB,1443,0,"Styret i Moelven Industrier ASA vil 
foreslå for generalforsamlingen 
25.03.98 at det utbetales et utbytte 
på kr. 0,25 pr. aksje til de som er 
aksjonærer i Moelven den dagen 
generalforsamlingen avholdes. Dersom 
generalforsamlingen fatter slikt 
vedtak, vil aksjen bli notert ekskl. 
utbytte f.o.m. 26.03.98.",MOE - EKS. UTBYTTE 26.03.98,http://www.newsweb.no/newsweb/search.do?messageId=1443&siteLanguage=no
2,,,,INNSIDEINFORMASJON,1998-03-18 12:48:00,,Norsk Vekst ASA,NOV,1,OB,1444,0,"Det innkalles til ordinær 
generalforsamling i Norsk Vekst ASA 
torsdag 26.mars 1998 kl. 16.00. Til 
behandling foreligger bl.a 
fastsettelse av regnskap, valg av 
styremedlemmer, beslutning om 
anvendelse av årets overskudd, 
herunder utdeling av utbytte. Styret 
forelsår at utbytte for 1997 
fastsettes til kr. 41,58 pr.aksje.",NOV - INNKALLING GEN.FORS,http://www.newsweb.no/newsweb/search.do?messageId=1444&siteLanguage=no
3,,,,INNSIDEINFORMASJON,1998-03-18 12:49:00,,Norsk Vekst ASA,NOV,1,OB,1445,0,"Oslo Børs har mottatt årsberetning fra
Norsk Vekst for 1997.",NOV - MOTTATT ÅRSBERETNING,http://www.newsweb.no/newsweb/search.do?messageId=1445&siteLanguage=no
4,,,,INNSIDEINFORMASJON,1998-03-18 12:50:00,,MediaBin Inc,MBN,1,OB,1446,0,"Oslo Børs har mottatt årsberetning fra
Iterated Systems for 1997.",ITR - MOTTATT ÅRSBERETNING,http://www.newsweb.no/newsweb/search.do?messageId=1446&siteLanguage=no
5,,,,INNSIDEINFORMASJON,1998-03-18 12:52:00,STB,Storebrand ASA,STB,1,OB,1447,0,"Oslo Børs har mottatt årsberetning fra
Storebrand for 1997.",STB - MOTTATT ÅRSBERETNING,http://www.newsweb.no/newsweb/search.do?messageId=1447&siteLanguage=no
